vehicle,category,status,mass_kg,a_x_ms2,a_y_ms2,a_z_ms2,alpha_x_degs2,alpha_y_degs2,alpha_z_degs2
Delta IV Heavy,Boosters,lin+ang,725700.0,1.34949,1.34949,12.9103,6.60219,6.60219,34.0209
Ariane 5 ECA,Boosters,lin+ang,780000.0,0.12865,0.12865,1.23077,0.876864,0.876864,0
Vega-C,Boosters,lin+ang,210000.0,2.50664,2.50664,22.1429,24.4475,24.4475,0
Vega,Boosters,lin+ang,137000.0,2.43098,2.43098,21.4745,27.6496,27.6496,0
GRACE-FO (per satellite),LEO Satellites,lin+ang,600.2,3.33222e-05,3.33222e-05,0.000166611,0.002911,0.00555444,0.00173303
Sentinel-3A,LEO Satellites,lin+ang,1250.0,0.00236354,0.00171461,0.00222837,0.237481,0.114654,0.210375
SMAP,LEO Satellites,lin+ang,944.0,0.0140836,0.0102168,0.0132781,0.959641,0.959641,2.1482
Sentinel-1A,LEO Satellites,,2300.0,0,0,0,0,0,0
Solar Dynamics Observatory (SDO),GEO Satellites,lin+ang,3100.0,0.0211956,0.0153762,0.177822,0.463495,0.463495,2.20432
Meteosat Second Generation (MSG),GEO Satellites,lin+ang,2000.0,0.011876,0.0107163,0.411059,0.64009,9.73863,1.20287
GOES-16 (GOES-R),GEO Satellites,,5192.0,0,0,0,0,0,0
GOES-19 (GOES-U),GEO Satellites,,5000.0,0,0,0,0,0,0
Orion (CM + European Service Module),Crewed Vehicles,lin+ang,26536.0,0.136625,0.136625,1.05502,4.14875,4.14875,2.23863
Apollo Command & Service Module,Crewed Vehicles,lin+ang,30320.0,0.277485,0.277485,3.06629,7.15547,7.15547,3.43232
Apollo Lunar Module,Crewed Vehicles,lin+ang,15103.0,0.40655,0.40655,3.20996,153.095,153.095,34.4002
Crew Dragon (Dragon 2),Crewed Vehicles,lin+ang,12519.0,0.125864,0.125864,42.8159,127.619,127.619,14.3987
Juno,Deep Space Probes,lin,3625.0,0,0,0.177931,0,0,0
Cassini (Cassini-Huygens),Deep Space Probes,lin+ang,5574.0,0.00627911,0.00627911,0.160669,0.240354,1.16462,0.256449
New Horizons,Deep Space Probes,lin+ang,478.0,0.00334728,0.00334728,0.0401674,1.00893,1.00893,0.219183
Europa Clipper,Deep Space Probes,lin+ang,5800.0,0,0,0.037931,0.538717,0.520338,0
Voyager 1,Deep Space Probes,lin+ang,815.0,0.0041084,0.0041084,0.00581016,0.948603,0.948603,1.04444
