C_vol_frac,C_volume,F+x,F+y,F+z,F-x,F-y,F-z,F_isotropy,F_max,F_origin,F_vol_frac,F_volume,M+x,M+y,M+z,M-x,M-y,M-z,M_isotropy,M_max,M_origin,M_vol_frac,M_volume,chugging_derated,effect,fault,hover_holdable,hover_ok,hover_slack,klass,label,n_eng,n_rcs,section,short,structure,temporal,trim_ok,trim_slack
1.0,985195537942.8623,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46820.0,0.038017941050832976,46953.909063462124,True,1.0,2315879757396.783,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,1.0,4237814797315.5986,False,unchanged,healthy,True,True,0.0,none,Healthy (control),2,16,—,healthy,none,—,True,0.0
1.0848940978687545,1068832824360.8438,4791.236797890706,6745.742027439636,1780.0,7135.53521600561,5184.621979386884,46820.0,0.038017941050832976,46964.95348267323,True,1.0845642796796864,2511720460905.809,13623.815872762763,10971.171938317122,4495.2212863733885,15825.95450494403,16831.917983604384,3909.146681844663,0.2322460628463423,17492.589562146208,True,1.0365777077066451,4392824348286.704,False,enlarged,tvc_bias,True,True,0.0,additive,"Thrust-vector misalignment (3°, 2°)",2,16,2.7,TVC bias,additive,incipient,True,0.0
1.0,985195537942.8623,5704.655887503683,5704.655887503683,1780.0,5704.655887503683,5704.655887503683,44313.925,0.040167960748229814,44448.51602479832,True,0.8759251859257167,2028537407079.3809,13254.719662349567,13254.719662349566,4137.5014542479075,13254.719662349566,13254.719662349566,4137.5014542479075,0.312153071482953,13598.481353236126,True,0.8986299124802394,3808227140419.1797,True,shrunk,chugging,True,True,0.0,additive,Thrust oscillation (chugging),2,16,2.3,chugging,additive,intermittent / forced,True,0.0
0.9410519183752077,927120150955.8253,4789.621559693389,4789.621559693389,1780.0,4789.621559693389,4789.621559693389,35560.0,0.050056242969628795,35697.7244688636,True,0.5224677928271031,1209972585300.0642,13766.712978285519,10967.13384282383,3908.7428722953337,8167.554707362141,10967.13384282383,3908.7428722953337,0.28392709853547926,14097.556880262047,True,0.5865154104600306,2485543685301.15,False,shrunk,thrust_loss_50,True,True,0.0,multiplicative,"Thrust reduction, $\eta$=0.50",2,16,2.1,$\eta$=0.50,multiplicative,abrupt / incipient,True,0.0
0.6487827540049865,639177874339.9944,3965.7282122177444,3965.7282122177444,1780.0,3965.7282122177444,3965.7282122177444,27678.0,0.0643110051304285,27820.23266249629,True,0.29819864788844086,690592212327.9312,13666.68500441959,8907.400474134718,3702.7695354264224,4148.115943849846,8907.400474134718,3702.7695354264224,0.2709339927150589,14000.062660859247,True,0.3618391508141701,1533407307568.4006,False,shrunk,thrust_loss_85,True,True,0.0,multiplicative,"Thrust reduction, $\eta$=0.15",2,16,2.1,$\eta$=0.15,multiplicative,abrupt,True,0.0
1.0,985195537942.8623,6672.806353923434,6672.806353923434,1780.0,6672.806353923434,6672.806353923434,53576.0,0.033223831566373,53708.38760185275,True,1.390796226398193,3220916827379.4087,13995.34834712193,15675.095828398942,4379.539070852845,17354.843309675958,15675.095828398942,4379.539070852845,0.25235255615422886,17618.70909496883,True,1.3003143214387185,5510491272554.393,False,enlarged,thrust_excess,True,True,0.0,multiplicative,"Thrust excess, $\eta$=1.30",2,16,2.2,$\eta$=1.30,multiplicative,abrupt,True,0.0
1.0,985195537942.8623,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46820.0,0.038017941050832976,46953.909063462124,True,1.0,2315879757396.783,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,1.0,4237814797315.5986,False,unchanged,slow_thrust,True,True,0.0,multiplicative,"Slow thrust response, $\tau_T$=2.5 s",2,16,2.5,$\tau_T$=2.5 s,multiplicative,incipient,True,0.0
0.9999999999999999,985195537942.8622,5378.116807890278,5378.116807890278,1780.0,5378.116807890278,5378.116807890278,41190.0,0.04321437242049041,41325.556914546076,True,0.7360137351015391,1704519310287.6526,13838.161531046897,12438.371963316053,4055.866684344556,11038.582395585208,12438.371963316053,4055.866684344556,0.2930928848637105,14167.309064174835,True,0.7796576240666847,3304044616109.7188,False,shrunk,mixture_ratio,True,True,0.0,multiplicative,Mixture-ratio shift (coupled),2,16,2.4,mixture ratio,multiplicative (coupled),incipient,True,0.0
1.0,985195537942.8623,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46820.0,0.038017941050832976,46953.909063462124,True,1.0,2315879757396.783,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,1.0,4237814797315.5986,False,unchanged,erosion_drift,True,True,0.0,multiplicative,Throat-erosion drift,2,16,2.10,erosion drift,time-varying multiplicative,incipient,True,0.0
0.6821621947927353,672063150463.1125,5966.612056087168,5966.612056087168,-6631.669298905779,5966.612056087168,5966.612056087168,46820.0,0.1274372502368041,46953.909063462124,False,0.9743387310493787,2256451344084.925,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,1.0,4237814797315.5986,False,punctured,valve_stuck_open,True,True,0.0,structural,Valve stuck open (thrust floor),2,16,2.2 / 1.4,stuck open,structural,abrupt,True,0.0
0.5258091991344293,518024876796.5496,3612.631063299611,3612.631063299611,1780.0,3612.631063299611,3612.631063299611,24300.0,0.07325102880658436,24445.054472631786,True,0.22559022892803407,522439844640.9403,13623.815872762763,8024.657601839384,3614.495248196889,2425.4993309160054,8024.657601839384,3614.495248196889,0.17803377215080787,13958.33700102497,True,0.2820510776175452,1195280230326.4436,False,shrunk,engine_out,True,True,0.0,structural,Engine out,1,16,2.1 / 3.1,engine out,structural,abrupt,True,0.0
1.0,985195537942.8623,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46820.0,0.038017941050832976,46953.909063462124,True,1.0,2315879757396.783,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,1.0,4237814797315.5986,False,unchanged,dead_time,True,True,0.0,structural,Transport delay (1 interval),2,16,2.6,dead time,structural,abrupt / intermittent,True,0.0
