trim_ok,trim_ok_no_rcs,trim_slack,trim_slack_no_rcs,y_eng
True,True,0.0,0.0,0.05
True,True,0.0,0.0,0.1
True,True,0.0,0.0,0.15
True,True,0.0,0.0,0.2
True,True,0.0,0.0,0.2028
True,True,0.0,0.0,0.2078
True,True,0.0,0.0,0.2128
True,True,0.0,0.0,0.2178
True,True,0.0,0.0,0.2228
True,True,0.0,0.0,0.2278
True,True,0.0,0.0,0.2328
True,True,0.0,0.0,0.2378
True,True,0.0,0.0,0.2428
True,True,0.0,0.0,0.2478
True,True,0.0,0.0,0.25
True,True,0.0,0.0,0.2528
True,True,0.0,0.0,0.2578
True,False,0.0,0.4938450821227762,0.2628
True,False,0.0,63.1457200821231,0.2678
True,False,0.0,125.79759508212291,0.2728
True,False,0.0,188.44947008212324,0.2778
True,False,0.0,251.10134508212306,0.2828
True,False,0.0,313.7532200821234,0.2878
True,False,0.0,376.4050950821232,0.2928
True,False,0.0,439.05697008212354,0.2978
True,False,0.0,466.623795082123,0.3
True,False,0.0,501.70884508212333,0.3028
True,False,0.0,564.3607200821236,0.3078
True,False,0.0,627.0125950821235,0.3128
True,False,0.0,689.6644700821238,0.3178
True,False,0.0,752.3163450821231,0.3228
True,False,0.0,1093.1425450821232,0.35
True,False,0.0,1719.6612950821238,0.4
False,False,206.4749252116303,2346.180045082123,0.45
False,False,832.99367521163,2972.6987950821235,0.5
False,False,1459.5124252116302,3599.2175450821237,0.55
False,False,2086.031175211629,4225.7362950821225,0.6
False,False,2712.549925211631,4852.255045082124,0.65
False,False,3339.0686752116303,5478.773795082123,0.7
False,False,3965.587425211631,6105.292545082124,0.75
False,False,4592.106175211631,6731.811295082124,0.8
False,False,5218.624925211629,7358.330045082122,0.85
False,False,5845.14367521163,7984.848795082123,0.9
False,False,6471.662425211631,8611.367545082123,0.95
False,False,7098.18117521163,9237.886295082124,1.0
False,False,7724.699925211629,9864.405045082123,1.05
False,False,8351.218675211632,10490.923795082124,1.1
False,False,8977.737425211628,11117.442545082122,1.15
False,False,9604.256175211627,11743.961295082121,1.2
False,False,10230.77492521163,12370.480045082124,1.25
False,False,10467.4904861119,12530.375,1.3
False,False,10562.35848351115,12530.375,1.35
False,False,10648.884526137124,12530.375,1.4
False,False,10728.12256587477,12530.375,1.45
False,False,10750.375,12530.375,1.5
False,False,10750.375,12530.375,1.55
False,False,10750.375,12530.375,1.6
False,False,10750.375,12530.375,1.65
False,False,10750.375,12530.375,1.7
False,False,10750.375,12530.375,1.75
False,False,10750.375,12530.375,1.8
False,False,10750.375,12530.375,1.85
False,False,10750.375,12530.375,1.9
False,False,10750.375,12530.375,1.95
False,False,10750.375,12530.375,2.0
