y_eng_m,a_x,a_y,a_z,roll_degs2,pitch_degs2,yaw_degs2,roll_ratio,pitch_ratio,yaw_ratio
0.000,0.773779,0.773779,6.07185,148.465,148.465,34.4002,1.0000,1.0000,1.0000
0.010,0.773779,0.773779,6.07185,148.465,148.465,34.9354,1.0000,1.0000,1.0156
0.020,0.773779,0.773779,6.07185,148.465,148.465,35.4706,1.0000,1.0000,1.0311
0.030,0.773779,0.773779,6.07185,148.465,148.465,36.0058,1.0000,1.0000,1.0467
0.040,0.773779,0.773779,6.07185,148.465,148.465,36.541,1.0000,1.0000,1.0622
0.050,0.773779,0.773779,6.07185,148.465,148.465,37.0763,1.0000,1.0000,1.0778
0.060,0.773779,0.773779,6.07185,148.465,148.465,37.6115,1.0000,1.0000,1.0934
0.070,0.773779,0.773779,6.07185,148.465,148.465,38.1467,1.0000,1.0000,1.1089
0.080,0.773779,0.773779,6.07185,148.465,148.465,38.6819,1.0000,1.0000,1.1245
0.090,0.773779,0.773779,6.07185,148.465,148.465,39.2171,1.0000,1.0000,1.1400
0.100,0.773779,0.773779,6.07185,148.465,148.465,39.7523,1.0000,1.0000,1.1556
0.110,0.773779,0.773779,6.07185,148.465,148.465,40.2875,1.0000,1.0000,1.1711
0.120,0.773779,0.773779,6.07185,148.465,148.465,40.8227,1.0000,1.0000,1.1867
0.130,0.773779,0.773779,6.07185,148.465,148.465,41.3579,1.0000,1.0000,1.2023
0.140,0.773779,0.773779,6.07185,148.465,148.465,41.8932,1.0000,1.0000,1.2178
0.150,0.773779,0.773779,6.07185,148.465,148.465,42.4284,1.0000,1.0000,1.2334
0.160,0.773779,0.773779,6.07185,148.465,148.465,42.9636,1.0000,1.0000,1.2489
0.170,0.773779,0.773779,6.07185,148.465,148.465,43.4988,1.0000,1.0000,1.2645
0.180,0.773779,0.773779,6.07185,148.465,148.465,44.034,1.0000,1.0000,1.2801
0.190,0.773779,0.773779,6.07185,148.465,148.465,44.5692,1.0000,1.0000,1.2956
0.200,0.773779,0.773779,6.07185,148.465,148.465,45.1044,1.0000,1.0000,1.3112
0.210,0.773779,0.773779,6.07185,148.465,148.465,45.6396,1.0000,1.0000,1.3267
0.220,0.773779,0.773779,6.07185,148.465,148.465,46.1748,1.0000,1.0000,1.3423
0.230,0.773779,0.773779,6.07185,148.465,148.465,46.7101,1.0000,1.0000,1.3578
0.240,0.773779,0.773779,6.07185,148.465,148.465,47.2453,1.0000,1.0000,1.3734
0.250,0.773779,0.773779,6.07185,148.465,148.465,47.7805,1.0000,1.0000,1.3890
0.260,0.773779,0.773779,6.07185,148.465,148.465,48.3157,1.0000,1.0000,1.4045
0.270,0.773779,0.773779,6.07185,150.196,148.465,48.8509,1.0117,1.0000,1.4201
0.280,0.773779,0.773779,6.07185,152.586,148.465,49.3861,1.0278,1.0000,1.4356
0.290,0.773779,0.773779,6.07185,154.977,148.465,49.9213,1.0439,1.0000,1.4512
0.300,0.773779,0.773779,6.07185,157.368,148.465,50.4565,1.0600,1.0000,1.4668
0.310,0.773779,0.773779,6.07185,159.758,148.465,50.9917,1.0761,1.0000,1.4823
0.320,0.773779,0.773779,6.07185,162.149,148.465,51.527,1.0922,1.0000,1.4979
0.330,0.773779,0.773779,6.07185,164.539,148.465,52.0622,1.1083,1.0000,1.5134
0.340,0.773779,0.773779,6.07185,166.93,148.465,52.5974,1.1244,1.0000,1.5290
0.350,0.773779,0.773779,6.07185,169.32,148.465,53.1326,1.1405,1.0000,1.5445
0.360,0.773779,0.773779,6.07185,171.711,148.465,53.6678,1.1566,1.0000,1.5601
0.370,0.773779,0.773779,6.07185,174.101,148.465,54.203,1.1727,1.0000,1.5757
0.380,0.773779,0.773779,6.07185,176.492,148.465,54.7382,1.1888,1.0000,1.5912
0.390,0.773779,0.773779,6.07185,178.882,148.465,55.2734,1.2049,1.0000,1.6068
0.400,0.773779,0.773779,6.07185,181.273,148.465,55.8086,1.2210,1.0000,1.6223
0.410,0.773779,0.773779,6.07185,183.663,148.465,56.3439,1.2371,1.0000,1.6379
0.420,0.773779,0.773779,6.07185,186.054,148.465,56.8791,1.2532,1.0000,1.6535
0.430,0.773779,0.773779,6.07185,188.444,148.465,57.4143,1.2693,1.0000,1.6690
0.440,0.773779,0.773779,6.07185,190.835,148.465,57.9495,1.2854,1.0000,1.6846
0.450,0.773779,0.773779,6.07185,193.225,148.465,58.4847,1.3015,1.0000,1.7001
0.460,0.773779,0.773779,6.07185,195.616,148.465,59.0199,1.3176,1.0000,1.7157
0.470,0.773779,0.773779,6.07185,198.006,148.465,59.5551,1.3337,1.0000,1.7312
0.480,0.773779,0.773779,6.07185,200.397,148.465,60.0903,1.3498,1.0000,1.7468
0.490,0.773779,0.773779,6.07185,202.787,148.465,60.6255,1.3659,1.0000,1.7624
0.500,0.773779,0.773779,6.07185,205.178,148.465,61.1608,1.3820,1.0000,1.7779
0.510,0.773779,0.773779,6.07185,207.568,148.465,61.696,1.3981,1.0000,1.7935
0.520,0.773779,0.773779,6.07185,209.959,148.465,62.2312,1.4142,1.0000,1.8090
0.530,0.773779,0.773779,6.07185,212.35,148.465,62.7664,1.4303,1.0000,1.8246
0.540,0.773779,0.773779,6.07185,214.74,148.465,63.3016,1.4464,1.0000,1.8402
0.550,0.773779,0.773779,6.07185,217.131,148.465,63.8368,1.4625,1.0000,1.8557
0.560,0.773779,0.773779,6.07185,219.521,148.465,64.372,1.4786,1.0000,1.8713
0.570,0.773779,0.773779,6.07185,221.912,148.465,64.9072,1.4947,1.0000,1.8868
0.580,0.773779,0.773779,6.07185,224.302,148.465,65.4424,1.5108,1.0000,1.9024
0.590,0.773779,0.773779,6.07185,226.693,148.465,65.9777,1.5269,1.0000,1.9179
0.600,0.773779,0.773779,6.07185,229.083,148.465,66.5129,1.5430,1.0000,1.9335
0.610,0.773779,0.773779,6.07185,231.474,148.465,67.0481,1.5591,1.0000,1.9491
0.620,0.773779,0.773779,6.07185,233.864,148.465,67.5833,1.5752,1.0000,1.9646
0.630,0.773779,0.773779,6.07185,236.255,148.465,68.1185,1.5913,1.0000,1.9802
0.640,0.773779,0.773779,6.07185,238.645,148.465,68.6537,1.6074,1.0000,1.9957
0.650,0.773779,0.773779,6.07185,241.036,148.465,69.1889,1.6235,1.0000,2.0113
0.660,0.773779,0.773779,6.07185,243.426,148.465,69.7241,1.6396,1.0000,2.0269
0.670,0.773779,0.773779,6.07185,245.817,148.465,70.2593,1.6557,1.0000,2.0424
0.680,0.773779,0.773779,6.07185,248.207,148.465,70.7946,1.6718,1.0000,2.0580
0.690,0.773779,0.773779,6.07185,250.598,148.465,71.3298,1.6879,1.0000,2.0735
0.700,0.773779,0.773779,6.07185,252.988,148.465,71.865,1.7040,1.0000,2.0891
0.710,0.773779,0.773779,6.07185,255.379,148.465,72.4002,1.7201,1.0000,2.1046
0.720,0.773779,0.773779,6.07185,257.769,148.465,72.9354,1.7362,1.0000,2.1202
0.730,0.773779,0.773779,6.07185,260.16,148.465,73.4706,1.7523,1.0000,2.1358
0.740,0.773779,0.773779,6.07185,262.551,148.465,74.0058,1.7684,1.0000,2.1513
0.750,0.773779,0.773779,6.07185,264.941,148.465,74.541,1.7845,1.0000,2.1669
0.760,0.773779,0.773779,6.07185,267.332,148.465,75.0762,1.8006,1.0000,2.1824
0.770,0.773779,0.773779,6.07185,269.722,148.465,75.6115,1.8167,1.0000,2.1980
0.780,0.773779,0.773779,6.07185,272.113,148.465,76.1467,1.8328,1.0000,2.2136
0.790,0.773779,0.773779,6.07185,274.503,148.465,76.6819,1.8489,1.0000,2.2291
0.800,0.773779,0.773779,6.07185,276.894,148.465,77.2171,1.8650,1.0000,2.2447
0.810,0.773779,0.773779,6.07185,279.284,148.465,77.7523,1.8811,1.0000,2.2602
0.820,0.773779,0.773779,6.07185,281.675,148.465,78.2875,1.8972,1.0000,2.2758
0.830,0.773779,0.773779,6.07185,284.065,148.465,78.8227,1.9133,1.0000,2.2913
0.840,0.773779,0.773779,6.07185,286.456,148.465,79.3579,1.9294,1.0000,2.3069
0.850,0.773779,0.773779,6.07185,288.846,148.465,79.8931,1.9455,1.0000,2.3225
0.860,0.773779,0.773779,6.07185,291.237,148.465,80.4284,1.9616,1.0000,2.3380
0.870,0.773779,0.773779,6.07185,293.627,148.465,80.9636,1.9777,1.0000,2.3536
