N_rem,alt,fault,iters,klass,lands,margin,outcome,point,pos_err,rate_deg,rng,section,structure,t_f,tilt_0,tilt_deg,v_desc_0,v_horiz,v_horiz_0,v_vert,wall
85,736.4545454545455,chugging,197,additive,True,0.6020537630335009,land,0,0.00034657876423111123,0.00872750696891254,2724.0876879026487,2.3,additive,0.0,14.999999999999998,0.019406894661936035,29.342215215238426,0.00021335039813797835,49.07796705149123,1.8061612891005026,45.084320068359375
81,665.8843124224463,chugging,160,additive,True,0.6019840035487446,land,1,0.00026334915665279676,0.003637192722655586,2502.283818723659,2.3,additive,4.0,9.191669730925033,0.015236396925608022,16.246253319313137,0.0001722970931576318,57.758629563767805,1.805952010646234,37.17100238800049
77,587.2765091311609,chugging,159,additive,True,0.6019108385070034,land,2,0.00013205412690467578,0.002931236294151434,2269.021730789497,2.3,additive,8.0,10.22187434410048,0.008389803598093869,28.671728873929897,0.00010048184827552971,52.70609072372358,1.8057325155210102,36.087172746658325
72,495.1487237150771,chugging,261,additive,True,0.60090084689024,land,3,0.0013198972985377388,0.06466068887026338,1979.5321223507726,2.3,additive,13.0,43.14312869759706,0.07267630053608522,4.089293894893052,0.0008538582665471856,59.860485392628206,1.80270254067072,50.80985474586487
68,419.08185201377603,chugging,201,additive,True,0.6009008355763902,land,4,0.001323811596993587,0.06280776991551103,1745.6235411771163,2.3,additive,17.0,38.20686033111046,0.07324858267459959,30.883072386511085,0.000863530987539838,51.314722556044664,1.8027025067291707,60.962403535842896
64,350.31191945099016,chugging,189,additive,True,0.6009008025450706,land,5,0.0012140984539285753,0.05537276147319889,1512.2056558825393,2.3,additive,21.0,22.294166351862454,0.06706727038598709,33.79393217601729,0.0007811276116312526,49.57792032833256,1.8027024076352118,44.830554246902466
60,282.4549151778067,chugging,128,additive,True,0.6009007883976367,land,6,0.0012672837001768068,0.05628374725750224,1275.8782794737574,2.3,additive,25.0,20.062292577483905,0.07070131437597504,8.313204708071043,0.0008369805342305592,59.15533486164134,1.8027023651929102,30.527554988861084
55,211.89971928079592,chugging,86,additive,True,0.6009945037519516,land,7,0.0004581605037758455,0.035106441644376395,978.4891140323834,2.3,additive,30.0,31.25107208588853,0.02259575544493449,28.06377692264284,0.00023737193220519,52.934654215708925,1.8029835112558548,24.214462518692017
51,159.80179157123658,chugging,153,additive,True,0.6010091401171463,land,8,0.0005921725305150699,0.03933422524592293,739.460979388465,2.3,additive,34.0,54.46242124916059,0.02971548838152907,51.75396553176433,0.0003098091203870226,30.35666463450774,1.8030274203514391,28.884129524230957
47,109.00383724834768,chugging,54,additive,True,0.601022203765693,land,9,0.0007011304556081521,0.04594693923819094,499.20971160107734,2.3,additive,38.0,50.70774445056735,0.03563646532009265,50.32792516928573,0.0003810405917120803,32.6664963555655,1.803066611297079,16.193102598190308
43,56.19745930050679,chugging,28,additive,True,0.6011023819192501,land,10,0.0008108291396574639,0.051711800669375,263.86321605494487,2.3,additive,42.0,60.22259519691488,0.04172497680896091,51.90204074611806,0.000456030442412411,19.82121159451976,1.8033071457577503,12.895225763320923
39,19.15574425039258,chugging,29,additive,True,0.6011777151335761,land,11,0.0009087962747963874,0.05293111571073221,87.31531456645605,2.3,additive,46.0,62.88595225261751,0.046901934918849975,32.08769130694379,0.0005024917709642582,12.417934527400181,1.8035331454007282,11.403500318527222
34,3.8072653166479418,chugging,30,additive,True,0.6020870187049493,land,12,0.0009635311132337206,0.030347933100239022,17.911836815533665,2.3,additive,51.0,62.865110661079726,0.052785301874096295,6.055084667661089,0.0005873418180647028,5.678429528714541,1.806261056114848,9.963176727294922
30,7.785311977454762,chugging,19,additive,True,0.6020322070277022,land,13,0.0005940426896332486,0.015261585504881396,17.049075660045983,2.3,additive,55.0,20.743017850954175,0.03300359579074799,1.924104743234002,0.00036684372973210883,4.871269687938275,1.8060966210831066,8.457238912582397
26,1.5917432622180052,chugging,19,additive,True,0.6019631049591524,land,14,0.0006100738588550366,0.012390724163785595,1.9827376428065278,2.3,additive,59.0,26.92365442634238,0.034105337485627704,1.1409760420306965,0.0003784771413172134,1.1196185188147103,1.8058893148774573,7.084153413772583
85,736.4545454545455,dead_time,165,structural,True,0.6009053970666417,land,0,1.0812175429500302e-05,0.0007621685785367042,2724.0876879026487,2.6,structural,0.0,14.999999999999998,0.0006767697026408719,29.342215215238426,8.523856520396378e-06,49.07796705149123,1.8027161911999252,40.077234983444214
81,665.8843124224463,dead_time,186,structural,True,0.6009197081116616,land,1,9.528634193488104e-06,0.0006773292397072171,2502.283818723659,2.6,structural,4.0,9.191669730925033,0.0004777898650991947,16.246253319313137,4.2118539036665485e-06,57.758629563767805,1.8027591243349848,41.19597029685974
77,587.2765091311609,dead_time,207,structural,True,0.6009150212430406,land,2,1.066602121711581e-05,0.0014921205816465866,2269.021730789497,2.6,structural,8.0,10.22187434410048,0.0005927504213903538,28.671728873929897,6.619023006295284e-06,52.70609072372358,1.802745063729122,43.587782859802246
72,495.1487237150771,dead_time,193,structural,True,0.6009072477665827,land,3,5.993001045245869e-06,0.0005588751624391245,1979.5321223507726,2.6,structural,13.0,43.14312869759706,0.00029559954974916434,4.089293894893052,2.5259546866669755e-06,59.860485392628206,1.802721743299748,40.31728196144104
68,419.08185201377603,dead_time,56,structural,False,inf,no_recovery,4,,,1745.6235411771163,2.6,structural,17.0,38.20686033111046,,30.883072386511085,,51.314722556044664,,31.075358629226685
64,350.31191945099016,dead_time,161,structural,True,0.6009057512774769,land,5,5.674953544510173e-06,0.00023497152669856215,1512.2056558825393,2.6,structural,21.0,22.294166351862454,0.00027423440997367793,33.79393217601729,2.2269584310623125e-06,49.57792032833256,1.8027172538324308,39.824434757232666
60,282.4549151778067,dead_time,60,structural,False,inf,no_recovery,6,,,1275.8782794737574,2.6,structural,25.0,20.062292577483905,,8.313204708071043,,59.15533486164134,,22.372098445892334
55,211.89971928079592,dead_time,55,structural,False,inf,no_recovery,7,,,978.4891140323834,2.6,structural,30.0,31.25107208588853,,28.06377692264284,,52.934654215708925,,19.992370128631592
51,159.80179157123658,dead_time,60,structural,True,0.6009059299498242,land,8,3.6439718179066775e-05,0.0028003710103200368,739.460979388465,2.6,structural,34.0,54.46242124916059,0.0020728880796770286,51.75396553176433,2.3880929028613708e-05,30.35666463450774,1.8027177898494724,18.66470742225647
47,109.00383724834768,dead_time,38,structural,False,inf,no_recovery,9,,,499.20971160107734,2.6,structural,38.0,50.70774445056735,,50.32792516928573,,32.6664963555655,,15.38676381111145
43,56.19745930050679,dead_time,43,structural,True,0.6009023951716951,land,10,9.823047773326687e-06,0.0007357444468464734,263.86321605494487,2.6,structural,42.0,60.22259519691488,0.0006027354182602841,51.90204074611806,8.472534111206893e-06,19.82121159451976,1.8027071855150851,13.735929012298584
39,19.15574425039258,dead_time,33,structural,True,0.6009015879863641,land,11,9.917781926395702e-06,0.006616243995409005,87.31531456645605,2.6,structural,46.0,62.88595225261751,0.0005506530901329792,32.08769130694379,6.349213357731883e-06,12.417934527400181,1.8027047639590923,11.779860496520996
34,3.8072653166479418,dead_time,30,structural,True,0.6009012899113745,land,12,8.904393436089443e-06,0.0009061600002217249,17.911836815533665,2.6,structural,51.0,62.865110661079726,0.0004963893845244144,6.055084667661089,5.664074143310759e-06,5.678429528714541,1.8027038697341236,9.852447748184204
30,7.785311977454762,dead_time,23,structural,False,inf,no_recovery,13,,,17.049075660045983,2.6,structural,55.0,20.743017850954175,,1.924104743234002,,4.871269687938275,,8.410694122314453
26,1.5917432622180052,dead_time,20,structural,True,0.6009014645265857,land,14,1.1660741724445042e-05,0.0004214356193821141,1.9827376428065278,2.6,structural,59.0,26.92365442634238,0.0007265271355633925,1.1409760420306965,9.189109351807624e-06,1.1196185188147103,1.802704393579757,7.108781814575195
85,736.4545454545455,engine_out,124,structural,True,0.6010179120726699,land,0,0.013754696795420721,0.7671673393875275,2724.0876879026487,2.1 / 3.1,structural,0.0,14.999999999999998,0.5810804529469099,29.342215215238426,0.0030163225700811772,49.07796705149123,1.8030537362180097,31.443302154541016
81,665.8843124224463,engine_out,166,structural,True,0.601014489968411,land,1,0.013799881299687311,0.7642067893533867,2502.283818723659,2.1 / 3.1,structural,4.0,9.191669730925033,0.5854403994396213,16.246253319313137,0.003102320795308676,57.758629563767805,1.8030434699052331,36.12273550033569
77,587.2765091311609,engine_out,159,structural,True,0.6010041135243721,land,2,0.01384221825362498,0.7648207969336943,2269.021730789497,2.1 / 3.1,structural,8.0,10.22187434410048,0.5883604751661056,28.671728873929897,0.0031514781680446534,52.70609072372358,1.8030123405731164,34.943487882614136
72,495.1487237150771,engine_out,108,structural,True,0.6010023161208836,land,3,0.013807307215751118,0.7727885419908486,1979.5321223507726,2.1 / 3.1,structural,13.0,43.14312869759706,0.5945913595372521,4.089293894893052,0.0034034582340999433,59.860485392628206,1.8030069483626507,26.200411796569824
68,419.08185201377603,engine_out,184,structural,True,0.6010074490807767,land,4,0.01382116986677389,0.7673801712261639,1745.6235411771163,2.1 / 3.1,structural,17.0,38.20686033111046,0.5867467237159195,30.883072386511085,0.003128791859816942,51.314722556044664,1.8030223472423301,43.847615003585815
