J,N_rem,alt_at_fault,attempts,eng,eta,ipopt_status,iters,kind,margin,outcome,part,profile,rate_after_delay_deg,retry_status,status,success,t_f,t_f_frac,tau_d,tilt_after_delay_deg,violation,wall
22174982155.334457,30,196.53665722411054,2,1,0.0,Infeasible_Problem_Detected,460,engine_out,inf,no_replan,D1,design,9.23445546932517,Infeasible_Problem_Detected,infeasible,False,16.12,0.62,0.0,18.01809416498676,,74.14361453056335
5852490691.599404,45,995.0589485054891,2,1,0.0,Infeasible_Problem_Detected,420,engine_out,inf,no_replan,D1,design,10.660213542118427,Infeasible_Problem_Detected,infeasible,False,1.04,0.04,0.0,12.174906204319246,,108.68699836730957
18378477199.555866,37,528.309891910326,2,1,0.0,Infeasible_Problem_Detected,475,engine_out,inf,no_replan,D1,design,8.89202489836636,Infeasible_Problem_Detected,infeasible,False,9.88,0.38,0.0,16.93030027867526,,88.20310711860657
28243937143.713257,43,969.6973431943645,2,1,0.0,Infeasible_Problem_Detected,629,engine_out,inf,no_replan,D1,design,54.524782451573344,Infeasible_Problem_Detected,infeasible,False,3.9,0.15,0.0,21.576712381469015,,143.08324646949768
41813293522.03401,33,342.2608347000497,2,1,0.0,Infeasible_Problem_Detected,806,engine_out,inf,no_replan,D1,design,10.000000081313198,Infeasible_Problem_Detected,infeasible,False,13.0,0.5,0.0,18.304709330939627,,142.14609909057617
11582821464.831453,28,98.02285974064843,2,1,0.0,Infeasible_Problem_Detected,480,engine_out,inf,no_replan,D1,design,5.028428936773228,Infeasible_Problem_Detected,infeasible,False,18.98,0.73,0.0,16.678308105429917,,63.94832706451416
11803495533.096567,24,29.302292792805225,2,1,0.0,Infeasible_Problem_Detected,330,engine_out,inf,no_replan,D1,design,0.9364922184480147,Infeasible_Problem_Detected,infeasible,False,22.099999999999998,0.8499999999999999,0.0,15.353618931580703,,34.500776290893555
22940676734.5442,39,734.527703950034,2,1,0.0,Infeasible_Problem_Detected,510,engine_out,inf,no_replan,D1,design,10.249701517881395,Infeasible_Problem_Detected,infeasible,False,7.0200000000000005,0.27,0.0,27.86323537439153,,105.32481861114502
6872118127.296747,41,234.7191523486455,2,1,0.0,Infeasible_Problem_Detected,490,engine_out,inf,no_replan,D1,derated,5.0000000499747355,Infeasible_Problem_Detected,infeasible,False,21.0,0.5,0.0,45.86461725578581,,80.84812474250793
5063808339.424658,36,72.46761606681659,2,1,0.0,Infeasible_Problem_Detected,334,engine_out,inf,no_replan,D1,derated,4.976846821503435,Infeasible_Problem_Detected,infeasible,False,26.04,0.62,0.0,11.86367960012271,,46.622100591659546
10107329.257482862,27,2.2533382714227193,2,1,0.0,Infeasible_Problem_Detected,151,engine_out,inf,no_replan,D1,derated,6.535047581768767,Infeasible_Problem_Detected,infeasible,False,35.699999999999996,0.8499999999999999,0.0,15.25942562892959,,19.005441188812256
15222001876.719849,47,442.8164536877786,2,1,0.0,Infeasible_Problem_Detected,618,engine_out,inf,no_replan,D1,derated,6.849555165714558,Infeasible_Problem_Detected,infeasible,False,15.96,0.38,0.0,53.96004220312885,,119.35184240341187
2891408948.446371,32,5.191707928314522,2,1,0.0,Infeasible_Problem_Detected,247,engine_out,inf,no_replan,D1,derated,15.938649365680863,Infeasible_Problem_Detected,infeasible,False,30.66,0.73,0.0,19.67815898521717,,29.212318658828735
20195459444.049866,61,991.2672576944391,2,1,0.0,Infeasible_Problem_Detected,649,engine_out,inf,no_replan,D1,derated,3.8568808279472253,Infeasible_Problem_Detected,infeasible,False,1.68,0.04,0.0,8.796395774472693,,198.26570296287537
11963454808.17162,51,635.9306486459922,2,1,0.0,Maximum_Iterations_Exceeded,1000,engine_out,inf,no_replan,D1,derated,13.742669959678823,Infeasible_Problem_Detected,infeasible,False,11.34,0.27,0.0,34.106964631164224,,208.3622965812683
37009478465.288635,56,876.9317245466423,2,1,0.0,Infeasible_Problem_Detected,952,engine_out,inf,no_replan,D1,derated,10.551558861353683,Infeasible_Problem_Detected,infeasible,False,6.3,0.15,0.0,46.70428099853597,,242.94695663452148
