J,N_rem,alt_at_fault,attempts,eng,eta,ipopt_status,iters,kind,margin,outcome,part,pos_err,profile,rate_after_delay_deg,rate_deg,retry_status,status,success,t_contact_replan,t_f,t_f_frac,tau_d,tilt_after_delay_deg,tilt_deg,v_horiz,v_vert,violation,violation_val,wall
4823119360.110753,38,655.9859997844991,2,1,0.75,Infeasible_Problem_Detected,301,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,45.09453511238098
41184364280.297874,38,655.9859997844991,2,1,0.35,Infeasible_Problem_Detected,525,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,62.74570608139038
27159408290.903557,38,655.9859997844991,2,1,0.45,Infeasible_Problem_Detected,660,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,62.08791399002075
431056078.7504968,38,655.9859997844991,2,1,0.6,Infeasible_Problem_Detected,354,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,55.66688275337219
41456120469.2656,38,655.9859997844991,2,1,0.28,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,142.14820861816406
70441717.2486882,38,655.9859997844991,2,1,0.9,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Maximum_Iterations_Exceeded,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,126.59732055664062
166512896.04940218,49,565.3069506132558,2,1,0.75,Infeasible_Problem_Detected,436,efficiency,inf,no_replan,D2,,derated,6.577535825573629,,Infeasible_Problem_Detected,infeasible,False,,13.02,0.31,0.0,39.90831590244186,,,,,,81.59999060630798
106858405.13252553,49,565.3069506132558,2,1,0.6,Infeasible_Problem_Detected,266,efficiency,inf,no_replan,D2,,derated,6.577535825573629,,Infeasible_Problem_Detected,infeasible,False,,13.02,0.31,0.0,39.90831590244186,,,,,,61.37450313568115
279361624.3613555,49,565.3069506132558,2,1,0.45,Infeasible_Problem_Detected,416,efficiency,inf,no_replan,D2,,derated,6.577535825573629,,Infeasible_Problem_Detected,infeasible,False,,13.02,0.31,0.0,39.90831590244186,,,,,,77.5623710155487
50645511699.27714,38,655.9859997844991,2,1,0.2,Infeasible_Problem_Detected,680,efficiency,inf,no_replan,D2,,design,9.891630294110007,,Infeasible_Problem_Detected,infeasible,False,,8.06,0.31,0.0,22.928528571744625,,,,,,187.85188817977905
161369880.2585955,49,565.3069506132558,2,1,0.35,Infeasible_Problem_Detected,260,efficiency,inf,no_replan,D2,,derated,6.577535825573629,,Maximum_Iterations_Exceeded,infeasible,False,,13.02,0.31,0.0,39.90831590244186,,,,,,56.76087999343872
3595302266.206243,49,565.3069506132558,2,1,0.28,Infeasible_Problem_Detected,397,efficiency,inf,no_replan,D2,,derated,6.577535825573629,,Maximum_Iterations_Exceeded,infeasible,False,,13.02,0.31,0.0,39.90831590244186,,,,,,89.41672682762146
