J,N_rem,alt_at_fault,attempts,eng,eta,ipopt_status,iters,kind,margin,outcome,part,pos_err,profile,rate_after_delay_deg,rate_deg,retry_status,status,success,t_contact_replan,t_f,t_f_frac,tau_d,tilt_after_delay_deg,tilt_deg,v_horiz,v_vert,violation,wall
334034105.4855647,42,969.6973431943645,2,1,1.0,Infeasible_Problem_Detected,462,efficiency,inf,no_replan,D5,,design,73.4631290203025,,Maximum_Iterations_Exceeded,infeasible,False,,3.9,0.15,0.1,14.440631243609621,,,,,61.59447693824768
4219520.888245443,30,196.53665722411054,2,1,1.0,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D5,,design,9.097507243411913,,Maximum_Iterations_Exceeded,infeasible,False,,16.12,0.62,0.1,17.965578000287714,,,,,89.65790033340454
861749.030487414,24,29.302292792805225,2,1,1.0,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D5,,design,0.8090988937379312,,Maximum_Iterations_Exceeded,infeasible,False,,22.099999999999998,0.8499999999999999,0.1,15.322457970124793,,,,,52.538108825683594
747493.975688688,27,98.02285974064843,2,1,1.0,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D5,,design,4.877235628841373,,Maximum_Iterations_Exceeded,infeasible,False,,18.98,0.73,0.1,16.62411193756389,,,,,67.95907258987427
11880222.467612999,33,342.2608347000497,1,1,1.0,Solve_Succeeded,47,efficiency,0.6009276486445767,land,D5,0.00038649179135442495,design,9.944664374840963,0.00046414991318632356,,solved,True,26.1,13.0,0.5,0.1,18.815951142551363,0.018864645780370757,0.00020339910254625658,1.8027829459337301,,10.216434240341187
41436764422.14294,33,342.2608347000497,2,1,0.0,Infeasible_Problem_Detected,643,efficiency,inf,no_replan,D5,,design,36.383588477472955,,Infeasible_Problem_Detected,infeasible,False,,13.0,0.5,0.1,19.334442535396555,,,,,65.32293224334717
13056651648.690857,33,342.2608347000497,2,1,0.5,Infeasible_Problem_Detected,847,efficiency,inf,no_replan,D5,,design,18.65898382800345,,Infeasible_Problem_Detected,infeasible,False,,13.0,0.5,0.1,19.056416474755693,,,,,62.90782022476196
129719025.94363594,33,342.2608347000497,2,1,0.75,Infeasible_Problem_Detected,348,efficiency,inf,no_replan,D5,,design,9.86365605386324,,Infeasible_Problem_Detected,infeasible,False,,13.0,0.5,0.1,18.931394319254437,,,,,27.191371202468872
88063314.9641321,33,342.2608347000497,2,1,0.875,Infeasible_Problem_Detected,361,efficiency,inf,no_replan,D5,,design,9.904160214352101,,Infeasible_Problem_Detected,infeasible,False,,13.0,0.5,0.1,18.872464067089314,,,,,26.724589347839355
56301287.6213564,33,342.2608347000497,2,1,0.9375,Maximum_Iterations_Exceeded,1000,efficiency,inf,no_replan,D5,,design,9.924412294596534,,Infeasible_Problem_Detected,infeasible,False,,13.0,0.5,0.1,18.8439040623727,,,,,88.8619294166565
