Study F — 48 initial conditions x 12 plants = 576 solves
  admissible fraction 0.883 of the raw box (226/256); rejects: {'outside_glide_cone': 30}
  [F] 1/576  16s elapsed
  [F] 2/576  21s elapsed
  [F] 3/576  24s elapsed
  [F] 4/576  47s elapsed
  [F] 5/576  49s elapsed
  [F] 6/576  51s elapsed
  [F] 7/576  65s elapsed
  [F] 8/576  67s elapsed
  [F] 9/576  71s elapsed
  [F] 10/576  82s elapsed
  [F] 11/576  86s elapsed
  [F] 12/576  94s elapsed
  [F] 13/576  106s elapsed
  [F] 14/576  108s elapsed
  [F] 15/576  117s elapsed
  [F] 16/576  127s elapsed
  [F] 17/576  130s elapsed
  [F] 18/576  134s elapsed
  [F] 19/576  145s elapsed
  [F] 20/576  150s elapsed
  [F] 21/576  162s elapsed
  [F] 22/576  175s elapsed
  [F] 23/576  178s elapsed
  [F] 24/576  183s elapsed
  [F] 25/576  209s elapsed
  [F] 26/576  212s elapsed
  [F] 27/576  218s elapsed
  [F] 28/576  224s elapsed
  [F] 29/576  238s elapsed
  [F] 30/576  239s elapsed
  [F] 31/576  244s elapsed
  [F] 32/576  250s elapsed
  [F] 33/576  259s elapsed
  [F] 34/576  273s elapsed
  [F] 35/576  274s elapsed
  [F] 36/576  289s elapsed
  [F] 37/576  293s elapsed
  [F] 38/576  304s elapsed
  [F] 39/576  317s elapsed
  [F] 40/576  318s elapsed
  [F] 41/576  319s elapsed
  [F] 42/576  319s elapsed
  [F] 43/576  339s elapsed
  [F] 44/576  345s elapsed
  [F] 45/576  350s elapsed
  [F] 46/576  359s elapsed
  [F] 47/576  359s elapsed
  [F] 48/576  374s elapsed
  [F] 49/576  439s elapsed
  [F] 50/576  528s elapsed
  [F] 51/576  560s elapsed
  [F] 52/576  586s elapsed
  [F] 53/576  624s elapsed
  [F] 54/576  686s elapsed
  [F] 55/576  690s elapsed
  [F] 56/576  812s elapsed
  [F] 57/576  819s elapsed
  [F] 58/576  826s elapsed
  [F] 59/576  832s elapsed
  [F] 60/576  938s elapsed
  [F] 61/576  996s elapsed
  [F] 62/576  1084s elapsed
  [F] 63/576  1098s elapsed
  [F] 64/576  1202s elapsed
  [F] 65/576  1206s elapsed
  [F] 66/576  1213s elapsed
  [F] 67/576  1309s elapsed
  [F] 68/576  1317s elapsed
  [F] 69/576  1407s elapsed
  [F] 70/576  1407s elapsed
  [F] 71/576  1410s elapsed
  [F] 72/576  1513s elapsed
  [F] 73/576  1530s elapsed
  [F] 74/576  1548s elapsed
  [F] 75/576  1576s elapsed
  [F] 76/576  1701s elapsed
  [F] 77/576  1716s elapsed
  [F] 78/576  1733s elapsed
  [F] 79/576  1777s elapsed
  [F] 80/576  1785s elapsed
  [F] 81/576  1827s elapsed
  [F] 82/576  1891s elapsed
  [F] 83/576  1901s elapsed
  [F] 84/576  2025s elapsed
  [F] 85/576  2058s elapsed
  [F] 86/576  2131s elapsed
  [F] 87/576  2155s elapsed
  [F] 88/576  2192s elapsed
  [F] 89/576  2206s elapsed
  [F] 90/576  2260s elapsed
  [F] 91/576  2311s elapsed
  [F] 92/576  2392s elapsed
  [F] 93/576  2414s elapsed
