Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 1/800  19s elapsed
  [G] 2/800  24s elapsed
  [G] 3/800  28s elapsed
  [G] 4/800  28s elapsed
  [G] 5/800  32s elapsed
  [G] 6/800  47s elapsed
  [G] 7/800  54s elapsed
  [G] 8/800  55s elapsed
  [G] 9/800  63s elapsed
  [G] 10/800  83s elapsed
  [G] 11/800  88s elapsed
  [G] 12/800  92s elapsed
  [G] 13/800  100s elapsed
  [G] 14/800  108s elapsed
  [G] 15/800  126s elapsed
  [G] 16/800  127s elapsed
  [G] 17/800  132s elapsed
  [G] 18/800  150s elapsed
  [G] 19/800  151s elapsed
  [G] 20/800  185s elapsed
  [G] 21/800  196s elapsed
  [G] 22/800  287s elapsed
  [G] 23/800  410s elapsed
  [G] 24/800  450s elapsed
  [G] 25/800  559s elapsed
  [G] 26/800  654s elapsed
  [G] 27/800  666s elapsed
  [G] 28/800  705s elapsed
  [G] 29/800  705s elapsed
  [G] 30/800  735s elapsed
  [G] 31/800  752s elapsed
  [G] 32/800  757s elapsed
  [G] 33/800  781s elapsed
  [G] 34/800  787s elapsed
  [G] 35/800  792s elapsed
  [G] 36/800  812s elapsed
  [G] 37/800  821s elapsed
  [G] 38/800  827s elapsed
  [G] 39/800  841s elapsed
  [G] 40/800  859s elapsed
  [G] 41/800  867s elapsed
  [G] 42/800  882s elapsed
  [G] 43/800  883s elapsed
  [G] 44/800  889s elapsed
  [G] 45/800  908s elapsed
  [G] 46/800  914s elapsed
  [G] 47/800  925s elapsed
  [G] 48/800  928s elapsed
  [G] 49/800  954s elapsed
  [G] 50/800  979s elapsed
  [G] 51/800  1071s elapsed
  [G] 52/800  1088s elapsed
  [G] 53/800  1136s elapsed
  [G] 54/800  1136s elapsed
