579 of 800 rows produced a trajectory; re-solving those to keep it
  [traj] 1/579  47s elapsed
  [traj] 2/579  59s elapsed
  [traj] 3/579  72s elapsed
  [traj] 4/579  77s elapsed
  [traj] 5/579  96s elapsed
  [traj] 6/579  106s elapsed
  [traj] 7/579  115s elapsed
  [traj] 8/579  131s elapsed
  [traj] 9/579  143s elapsed
  [traj] 10/579  168s elapsed
  [traj] 11/579  172s elapsed
  [traj] 12/579  172s elapsed
  [traj] 13/579  200s elapsed
  [traj] 14/579  217s elapsed
  [traj] 15/579  230s elapsed
  [traj] 16/579  231s elapsed
  [traj] 17/579  232s elapsed
  [traj] 18/579  268s elapsed
  [traj] 19/579  273s elapsed
  [traj] 20/579  284s elapsed
  [traj] 21/579  306s elapsed
  [traj] 22/579  339s elapsed
  [traj] 23/579  347s elapsed
  [traj] 24/579  353s elapsed
  [traj] 25/579  395s elapsed
  [traj] 26/579  405s elapsed
  [traj] 27/579  420s elapsed
  [traj] 28/579  433s elapsed
  [traj] 29/579  465s elapsed
  [traj] 30/579  478s elapsed
  [traj] 31/579  492s elapsed
  [traj] 32/579  508s elapsed
  [traj] 33/579  528s elapsed
  [traj] 34/579  546s elapsed
  [traj] 35/579  565s elapsed
  [traj] 36/579  572s elapsed
  [traj] 37/579  575s elapsed
  [traj] 38/579  603s elapsed
  [traj] 39/579  603s elapsed
  [traj] 40/579  626s elapsed
  [traj] 41/579  628s elapsed
  [traj] 42/579  658s elapsed
  [traj] 43/579  680s elapsed
  [traj] 44/579  683s elapsed
  [traj] 45/579  689s elapsed
  [traj] 46/579  694s elapsed
  [traj] 47/579  710s elapsed
  [traj] 48/579  733s elapsed
  [traj] 49/579  751s elapsed
  [traj] 50/579  757s elapsed
  [traj] 51/579  764s elapsed
  [traj] 52/579  794s elapsed
  [traj] 53/579  799s elapsed
  [traj] 54/579  818s elapsed
  [traj] 55/579  822s elapsed
  [traj] 56/579  831s elapsed
  [traj] 57/579  846s elapsed
  [traj] 58/579  870s elapsed
  [traj] 59/579  879s elapsed
  [traj] 60/579  886s elapsed
  [traj] 61/579  890s elapsed
  [traj] 62/579  897s elapsed
  [traj] 63/579  926s elapsed
  [traj] 64/579  928s elapsed
  [traj] 65/579  939s elapsed
  [traj] 66/579  939s elapsed
  [traj] 67/579  940s elapsed
  [traj] 68/579  971s elapsed
  [traj] 69/579  971s elapsed
  [traj] 70/579  977s elapsed
  [traj] 71/579  991s elapsed
  [traj] 72/579  1012s elapsed
  [traj] 73/579  1013s elapsed
  [traj] 74/579  1019s elapsed
  [traj] 75/579  1035s elapsed
  [traj] 76/579  1038s elapsed
  [traj] 77/579  1053s elapsed
  [traj] 78/579  1056s elapsed
  [traj] 79/579  1067s elapsed
  [traj] 80/579  1078s elapsed
  [traj] 81/579  1091s elapsed
  [traj] 82/579  1093s elapsed
  [traj] 83/579  1103s elapsed
  [traj] 84/579  1118s elapsed
  [traj] 85/579  1138s elapsed
  [traj] 86/579  1140s elapsed
  [traj] 87/579  1140s elapsed
  [traj] 88/579  1144s elapsed
  [traj] 89/579  1160s elapsed
  [traj] 90/579  1184s elapsed
  [traj] 91/579  1197s elapsed
  [traj] 92/579  1206s elapsed
  [traj] 93/579  1206s elapsed
  [traj] 94/579  1210s elapsed
  [traj] 95/579  1236s elapsed
  [traj] 96/579  1240s elapsed
  [traj] 97/579  1254s elapsed
  [traj] 98/579  1262s elapsed
  [traj] 99/579  1266s elapsed
  [traj] 100/579  1281s elapsed
  [traj] 101/579  1294s elapsed
  [traj] 102/579  1300s elapsed
  [traj] 103/579  1316s elapsed
  [traj] 104/579  1325s elapsed
  [traj] 105/579  1333s elapsed
  [traj] 106/579  1342s elapsed
  [traj] 107/579  1345s elapsed
  [traj] 108/579  1386s elapsed
  [traj] 109/579  1391s elapsed
  [traj] 110/579  1420s elapsed
  [traj] 111/579  1444s elapsed
  [traj] 112/579  1451s elapsed
  [traj] 113/579  1485s elapsed
