Category,Spacecraft,T/W,RCS units N,RCS DOF required,RCS basis,Minimal fatal sets,Fewest fatal failures,Fatal loss sets,Sample space,Fatal 1-thruster losses,Fatal 2-thruster losses,Fatal 3-thruster losses,Fatal 4-thruster losses,Fatal 5-thruster losses,Fatal 6-thruster losses,Fatal 7-thruster losses,Fatal 8-thruster losses,Fatal 9-thruster losses,Fatal 10-thruster losses,Fatal 11-thruster losses,Fatal 12-thruster losses,Fatal 13-thruster losses,Fatal 14-thruster losses,Fatal 15-thruster losses,Fatal 16-thruster losses,Fatal 17-thruster losses,Fatal 18-thruster losses,Fatal 19-thruster losses,Fatal 20-thruster losses,Fatal 21-thruster losses,Fatal 22-thruster losses,Fatal 23-thruster losses,Fatal 24-thruster losses,P(fail) RCS,Engines N,Engines needed n,Engines losable,Engine loss sets counted,Engine sample space,P(fail) engines,P(fail) vehicle,P(success) vehicle,Plotted
Boosters,Delta IV Heavy,1.31648,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,3,0,7,8,0.875000000,0.875000000,0.125000000,yes
Boosters,Ariane 5 ECA,1.97668,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0,1,1,2,0.500000000,0.500000000,0.500000000,yes
Boosters,Vega-C,2.25794,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,0,1,2,0.500000000,0.500000000,0.500000000,yes
Boosters,Vega,2.18978,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,0,1,2,0.500000000,0.500000000,0.500000000,yes
LEO Satellites,GRACE-FO (per satellite),3.39792e-05,12,3,geometry,6,2,3367,4096,0,6,60,255,600,860,792,495,220,66,12,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.822021484,2,1,1,3,4,0.750000000,0.955505371,0.044494629,yes
LEO Satellites,Sentinel-3A,0.000652618,8,3,geometry,7,2,199,256,0,7,35,64,56,28,8,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.777343750,n/a,n/a,n/a,n/a,n/a,n/a,0.777343750,0.222656250,yes
LEO Satellites,SMAP,n/a,8,3,geometry,7,2,199,256,0,7,35,64,56,28,8,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.777343750,n/a,n/a,n/a,n/a,n/a,n/a,0.777343750,0.222656250,no
LEO Satellites,Sentinel-1A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no
GEO Satellites,Solar Dynamics Observatory (SDO),0.0219476,8,3,geometry,7,2,199,256,0,7,35,64,56,28,8,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.777343750,1,1,0,1,2,0.500000000,0.888671875,0.111328125,yes
GEO Satellites,Meteosat Second Generation (MSG),0.0438478,6,2,geometry,4,1,55,64,2,11,20,15,6,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.859375000,2,1,1,3,4,0.750000000,0.964843750,0.035156250,yes
GEO Satellites,GOES-16 (GOES-R),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no
GEO Satellites,GOES-19 (GOES-U),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no
